Reference,Qty,Description,Value,Footprint,DNP,,,,,,,,
C1,1,890324025009CS,0.047u,Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,,,,,,,,,
"C2,C4",2,890273322005CS,0.15u,Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4,,,,,,,,,
"C3,C16",2,R82IC2100DQ50K,0.01u,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,,,,,,,,
"C5,C8,C10,C14",4,"""860160672011""",22u,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,,,,,,,,
"C7,C11",2,SLPX472M050C3P3,4.7m,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,,,,,,,,,
"C9,C12",2,MKS2D031001A00JI00,0.1u,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,,,,,,,,
"C13,C15",2,"""860160672009""",10u,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,,,,,,,,
"D1,D2",2,W04G-E4/51,W04G,Diode_THT:Diode_Bridge_Round_D9.8mm,,,,,,,,,
"D3,D5,D6,D7,D9,D10",6,1N4148W-HG3_A-08,1N4148WT,Diode_SMD:D_SOD-123,,,,,,,,,
D4,1,TLDR4900,LED,LED_THT:LED_D3.0mm,,,,,,,,,
FL1,1,744282100,744282100,Inductor_SMD:L_Bourns_SRF1260,,,,,,,,,
J1,1,DAC-18R5A,IEC_60320_C8_Receptacle,local:SWITCHCRAFT_RAPC322X,,,,,,,,,
J2,1,2.54mm Header 01x02,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,,,,,,
J3,1,2.54mm Header 01x04,Conn_01x05_Pin,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,,,,,,,,
J4,1,2.54mm Header 01x04,Conn_01x04_Pin,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,,,,,,,,
"R1,R2",2,CRCW251222R0FKEG,22,Resistor_SMD:R_2512_6332Metric,,,,,,,,,
"R3,R12",2,CRCW1206470RFKEA,470,Resistor_SMD:R_1206_3216Metric,,,,,,,,,
"R4,R9",2,CR1206-FX-1800ELF,180,Resistor_SMD:R_1206_3216Metric,,,,,,,,,
R5,1,CRCW12061K80FKEAHP,1.8k,Resistor_SMD:R_1206_3216Metric,,,,,,,,,
"R7,R10",2,CR1206-FX-2201ELF,2.2k,Resistor_SMD:R_1206_3216Metric,,,,,,,,,
R8,1,CRCW12066K80FKEAC,6.8k,Resistor_SMD:R_1206_3216Metric,,,,,,,,,
R11,1,RC1206FR-131KL,1k,Resistor_SMD:R_1206_3216Metric,,,,,,,,,
TR1,1,FL 18/30,Block FL 18/30,local:FL18_30,,,,,,,,,
U1,1,LM317AT/NOPB,LM317_TO-220,Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,
U3,1,LM337T/NOPB,LM337_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,
,,,,,,,,,,,,,
